25.89,847.19,44.19,662,,,
25.89,847.19,44.19,662,2020-09-28 18:07:30,'good',
25.88,847.15,44.08,651,,,
25.88,847.15,44.08,651,2020-09-28 18:07:35,'good',
25.88,847.16,44.16,646,,,
25.88,847.16,44.16,646,2020-09-28 18:07:40,'good',
25.86,847.14,44.25,654,,,
25.86,847.14,44.25,654,2020-09-28 18:07:45,'good',
25.85,847.13,44.33,658,,,
25.85,847.13,44.33,658,2020-09-28 18:07:50,'good',
25.86,847.14,44.39,653,,,
25.86,847.14,44.39,653,2020-09-28 18:07:55,'good',
25.85,847.14,44.51,657,,,
25.85,847.14,44.51,657,2020-09-28 18:08:00,'good',
25.85,847.12,44.6,657,,,
25.85,847.12,44.6,657,2020-09-28 18:08:05,'good',
25.85,847.09,44.64,655,,,
25.85,847.09,44.64,655,2020-09-28 18:08:10,'good',
25.84,847.14,44.7,654,,,
25.84,847.14,44.7,654,2020-09-28 18:08:15,'good',
25.84,847.12,44.54,655,,,
25.84,847.12,44.54,655,2020-09-28 18:08:20,'good',
25.83,847.1,44.41,662,,,
25.83,847.1,44.41,662,2020-09-28 18:08:25,'good',
25.83,847.14,44.4,665,,,
25.83,847.14,44.4,665,2020-09-28 18:08:30,'good',
25.83,847.12,44.46,668,,,
25.83,847.12,44.46,668,2020-09-28 18:08:35,'good',
25.83,847.12,44.57,683,,,
25.83,847.12,44.57,683,2020-09-28 18:08:40,'good',
25.84,847.15,44.63,684,,,
25.84,847.15,44.63,684,2020-09-28 18:08:45,'good',
25.84,847.18,44.69,683,,,
25.84,847.18,44.69,683,2020-09-28 18:08:50,'good',
25.84,847.18,44.77,653,,,
25.84,847.18,44.77,653,2020-09-28 18:08:55,'good',
25.83,847.19,44.52,568,,,
25.83,847.19,44.52,568,2020-09-28 18:09:00,'good',
25.82,847.15,44.39,685,,,
25.82,847.15,44.39,685,2020-09-28 18:09:05,'good',
25.81,847.12,44.51,535,,,
25.81,847.12,44.51,535,2020-09-28 18:09:10,'good',
25.82,847.1,44.69,487,,,
25.82,847.1,44.69,487,2020-09-28 18:09:15,'good',
25.81,847.14,44.6,538,,,
25.81,847.14,44.6,538,2020-09-28 18:09:20,'good',
25.81,847.13,44.68,530,,,
25.81,847.13,44.68,530,2020-09-28 18:09:25,'good',
25.81,847.12,44.75,624,,,
25.81,847.12,44.75,624,2020-09-28 18:09:30,'good',
25.81,847.14,44.17,564,,,
25.81,847.14,44.17,564,2020-09-28 18:09:35,'good',
25.82,847.14,45.19,558,,,
25.82,847.14,45.19,558,2020-09-28 18:09:40,'good',
25.8,847.19,44.11,550,,,
25.8,847.19,44.11,550,2020-09-28 18:09:45,'good',
25.79,847.17,43.54,554,,,
25.79,847.17,43.54,554,2020-09-28 18:09:50,'good',
25.79,847.12,43.66,564,,,
25.79,847.12,43.66,564,2020-09-28 18:09:55,'good',
25.78,847.12,43.81,563,,,
25.78,847.12,43.81,563,2020-09-28 18:10:01,'good',
25.78,847.17,44.02,561,,,
25.78,847.17,44.02,561,2020-09-28 18:10:06,'good',
25.78,847.16,44.3,558,,,
25.78,847.16,44.3,558,2020-09-28 18:10:11,'good',
25.77,847.15,44.36,558,,,
25.77,847.15,44.36,558,2020-09-28 18:10:16,'good',
25.77,847.15,44.79,560,,,
25.77,847.15,44.79,560,2020-09-28 18:10:21,'good',
25.76,847.13,44.82,559,,,
25.76,847.13,44.82,559,2020-09-28 18:10:26,'good',
25.77,847.19,44.95,558,,,
25.77,847.19,44.95,558,2020-09-28 18:10:31,'good',
25.77,847.15,45.54,631,,,
25.77,847.15,45.54,631,2020-09-28 18:10:36,'good',
25.78,847.1,46.84,639,,,
25.78,847.1,46.84,639,2020-09-28 18:10:41,'good',
25.78,847.18,46.27,571,,,
